index,frameID,groupID,x,y,w,h
8498,12116.0,762.0,207.14,161.97,61.42,48.7
8499,12117.0,759.0,166.64,121.79,211.42,123.18
8500,12117.0,762.0,207.14,161.97,61.42,48.7
8501,12118.0,759.0,166.64,121.79,211.42,123.18
8502,12118.0,762.0,207.14,161.97,61.42,48.7
8503,12119.0,759.0,166.64,121.79,211.42,123.18
8504,12119.0,762.0,207.14,161.97,61.42,48.7
8505,12120.0,759.0,166.64,121.79,211.42,123.18
8506,12120.0,762.0,207.14,161.97,61.42,48.7
8507,12121.0,759.0,166.64,121.79,224.75,123.18
8508,12121.0,762.0,207.14,161.97,61.42,48.7
8509,12122.0,759.0,166.64,121.79,224.75,123.18
8510,12122.0,762.0,207.14,161.97,61.42,48.7
8511,12123.0,759.0,166.64,121.79,224.75,123.18
8512,12123.0,762.0,207.14,161.97,61.42,48.7
8513,12124.0,759.0,166.64,121.79,200.86,123.18
8514,12124.0,762.0,207.14,161.97,61.42,48.7
8515,12125.0,759.0,166.64,121.79,224.75,123.18
8516,12125.0,762.0,207.14,161.97,61.42,48.7
8517,12126.0,759.0,166.64,121.79,224.75,123.18
8518,12126.0,762.0,207.14,161.97,61.42,48.7
8519,12127.0,759.0,166.64,121.79,224.75,123.18
8520,12127.0,762.0,207.14,161.97,61.42,48.7
8521,12128.0,759.0,166.64,121.79,200.86,123.18
8522,12128.0,762.0,207.14,161.97,61.42,48.7
8523,12129.0,763.0,166.64,121.79,224.75,123.18
8524,12130.0,763.0,166.64,121.79,224.75,123.18
8525,12130.0,762.0,199.27,153.41,27.38,61.27
8526,12131.0,763.0,166.64,121.79,224.75,123.18
8527,12131.0,762.0,199.27,153.41,27.38,61.27
8528,12132.0,763.0,166.64,121.79,224.75,123.18
8529,12132.0,762.0,199.27,153.41,27.38,61.27
8530,12133.0,763.0,166.64,121.79,224.75,123.18
8531,12133.0,762.0,199.27,153.41,27.38,61.27
8532,12134.0,763.0,166.64,121.79,224.75,123.18
8533,12134.0,762.0,182.13,153.41,44.52,63.52
8534,12135.0,763.0,166.64,121.79,224.75,123.18
8535,12135.0,762.0,182.13,153.41,44.52,63.52
8536,12136.0,759.0,166.64,121.79,224.75,123.18
8537,12136.0,762.0,182.13,153.41,44.52,63.52
8538,12137.0,759.0,166.64,121.79,224.75,123.18
8539,12137.0,762.0,182.13,153.41,44.52,63.52
8540,12138.0,763.0,166.64,121.79,224.75,123.18
8541,12138.0,762.0,182.13,153.41,36.27,63.52
8542,12139.0,763.0,166.64,121.79,224.75,123.18
8543,12139.0,762.0,182.13,153.41,44.52,63.52
8544,12140.0,763.0,312.64,171.18,78.75,27.91
8545,12140.0,762.0,182.13,153.41,86.43,63.52
8546,12141.0,763.0,312.64,171.18,78.75,27.91
8547,12141.0,762.0,182.13,153.41,86.43,63.52
8548,12142.0,763.0,166.64,121.79,224.75,123.18
8549,12142.0,762.0,182.13,153.41,36.27,63.52
8550,12143.0,763.0,166.64,121.79,235.11,123.18
8551,12143.0,762.0,182.13,153.41,36.27,63.52
8552,12144.0,763.0,166.64,121.79,235.11,123.18
8553,12144.0,762.0,182.13,153.41,86.43,63.52
8554,12145.0,763.0,312.64,171.18,89.11,26.18
8555,12145.0,762.0,182.13,153.41,86.43,63.52
8556,12146.0,763.0,312.64,171.18,89.11,26.18
8557,12146.0,762.0,182.13,153.41,36.27,63.52
8558,12147.0,763.0,299.3,171.18,102.45,29.59
8559,12147.0,762.0,182.13,153.41,86.43,63.52
8560,12148.0,763.0,299.3,171.18,102.45,29.59
8561,12148.0,762.0,182.13,153.41,86.43,63.52
8562,12149.0,763.0,299.3,171.18,102.45,29.59
8563,12149.0,762.0,182.13,153.41,86.43,63.52
8564,12150.0,763.0,312.64,171.18,89.11,27.91
8565,12150.0,762.0,182.13,153.41,36.27,63.52
8566,12151.0,763.0,312.64,171.18,89.11,27.91
8567,12151.0,762.0,182.13,153.41,36.27,63.52
8568,12152.0,763.0,166.64,121.79,235.11,123.18
8569,12152.0,762.0,182.13,153.41,86.43,63.52
8570,12153.0,763.0,166.64,121.79,235.11,123.18
8571,12153.0,762.0,182.13,153.41,86.43,63.52
8572,12154.0,763.0,312.64,174.0,89.11,23.36
8573,12154.0,762.0,182.13,153.41,36.27,63.52
8574,12155.0,763.0,312.64,174.0,89.11,23.36
8575,12156.0,763.0,312.64,174.0,89.11,23.36
8576,12157.0,763.0,312.64,174.0,89.11,23.36
8577,12157.0,762.0,182.13,153.41,36.27,63.52
8578,12158.0,763.0,312.64,174.0,89.11,23.36
8579,12159.0,763.0,312.64,174.0,89.11,23.36
8580,12159.0,762.0,182.13,153.41,86.43,63.52
8581,12160.0,763.0,312.64,171.18,89.11,26.18
8582,12160.0,762.0,182.13,153.41,86.43,63.52
8583,12161.0,763.0,312.64,171.18,89.11,29.47
8584,12161.0,762.0,182.13,153.41,86.43,63.52
8585,12162.0,763.0,312.64,171.18,89.11,29.47
8586,12162.0,762.0,182.13,153.41,36.27,63.52
8587,12163.0,763.0,312.64,171.18,89.11,26.18
8588,12163.0,762.0,182.13,153.41,36.27,63.52
8589,12164.0,763.0,312.64,174.0,89.11,23.36
8590,12164.0,764.0,116.04,127.05,110.61,97.2
