frameID,groupID,x,y,w,h
16114,3,8.35,125.14,54.23,231.6
16115,3,8.35,125.14,54.23,231.6
16116,3,8.35,125.14,54.23,231.6
16128,2,51.37,139.57,99.46,207.67
16129,2,51.37,139.57,99.46,207.67
16130,2,17.64,125.14,133.19,231.6
16131,2,17.64,125.14,133.19,231.6
16132,2,17.64,125.14,133.19,231.6
16133,2,17.64,125.14,133.19,231.6
16133,4,527.86,118.58,107.6,239.45
16134,2,17.64,125.14,133.19,231.6
16134,4,527.86,118.58,107.6,239.45
16135,2,51.37,139.57,99.46,207.67
16135,4,527.86,118.58,107.6,239.45
16136,2,17.64,125.14,133.19,231.6
16137,2,17.64,125.14,133.19,231.6
16138,2,51.37,139.57,99.46,207.67
16140,4,527.86,118.58,107.6,239.45
16141,4,527.86,118.58,107.6,239.45
16142,4,527.86,118.58,107.6,239.45
16143,4,527.86,118.58,107.6,239.45
16144,4,527.86,118.58,107.6,239.45
16145,4,527.86,118.58,107.6,239.45
16146,4,527.86,118.58,107.6,239.45
16147,4,527.86,118.58,107.6,239.45
16148,4,527.86,118.58,107.6,239.45
16149,4,527.86,118.58,107.6,239.45
16150,4,527.86,118.58,107.6,239.45
16151,4,527.86,118.58,107.6,239.45
16152,4,527.86,118.58,107.6,239.45
16153,4,527.86,118.58,107.6,239.45
16154,4,527.86,118.58,107.6,239.45
16155,4,527.86,118.58,107.6,239.45
16156,4,527.86,118.58,107.6,239.45
16157,4,527.86,118.58,107.6,239.45
16158,4,527.86,118.58,107.6,239.45
16159,4,527.86,118.58,107.6,239.45
16161,4,527.86,118.58,107.6,239.45
16166,4,527.86,118.58,107.6,239.45
16167,4,527.86,118.58,107.6,239.45
16169,4,527.86,118.58,107.6,239.45
16170,4,527.86,118.58,107.6,239.45
16172,4,527.86,118.58,107.6,239.45
16173,4,527.86,118.58,107.6,239.45
16173,3,17.64,125.14,133.08,231.6
16174,4,527.86,118.58,107.6,239.45
16174,3,17.64,125.14,133.08,231.6
16175,4,527.86,118.58,107.6,239.45
16175,3,17.64,125.14,133.08,231.6
16176,4,527.86,118.58,107.6,239.45
16176,3,17.64,125.14,133.08,231.6
16177,3,17.64,125.14,133.08,231.6
16178,3,17.64,125.14,133.08,231.6
16179,4,527.86,118.58,107.6,239.45
16179,3,17.64,125.14,133.08,231.6
16180,4,527.86,118.58,107.6,239.45
16180,3,17.64,125.14,133.08,231.6
16181,4,527.86,118.58,107.6,239.45
16181,3,17.64,125.14,133.08,231.6
16182,4,527.86,118.58,107.6,239.45
16182,2,8.35,170.12,41.41,123.5
16182,3,17.64,125.14,133.08,231.6
16183,4,527.86,118.58,107.6,239.45
16183,2,8.35,170.12,41.41,123.5
16183,3,17.64,125.14,133.08,231.6
16184,4,527.86,118.58,107.6,239.45
16184,3,17.64,125.14,133.08,231.6
16185,4,527.86,118.58,107.6,239.45
16185,2,8.35,170.12,41.41,123.5
16185,3,17.64,125.14,133.08,231.6
16186,4,527.86,118.58,107.6,239.45
16186,3,17.64,125.14,133.08,231.6
16187,4,527.86,118.58,107.6,239.45
16187,3,17.64,125.14,133.08,231.6
16188,4,527.86,118.58,107.6,239.45
16188,3,17.64,125.14,133.08,231.6
16189,3,17.64,125.14,133.08,231.6
16190,3,17.64,125.14,133.08,231.6
16191,3,17.64,125.14,133.08,231.6
16192,2,8.35,170.12,66.63,123.5
