frameID,groupID,x,y,w,h
18115,18,360.88,183.56,35.95,77.88
18116,20,179.11,154.29,80.05,141.75
18117,20,175.95,152.95,83.84,144.12
18118,20,174.15,153.24,86.46,144.78
18119,20,172.26,152.67,88.2,148.92
18120,20,170.61,152.47,88.09,150.53
18124,21,343.94,177.42,37.02,96.25
18125,18,187.21,142.51,191.96,162.01
18126,18,290.53,170.03,88.76,113.54
18127,22,243.41,155.89,132.84,170.82
18128,22,242.29,154.15,135.76,179.83
18129,17,1.0,95.83,377.39,241.67
18130,22,222.32,146.99,156.02,208.63
18131,22,204.73,147.43,168.37,208.99
18132,17,290.56,37.91,312.08,317.51
18133,17,290.19,98.63,306.11,257.53
18134,17,250.59,66.11,275.94,291.7
18135,17,230.76,75.22,281.98,282.39
18136,17,309.66,101.81,171.64,262.93
18136,23,222.53,150.02,351.89,205.66
18137,24,320.02,181.17,27.96,60.37
18137,25,352.95,108.11,212.51,255.69
18138,26,311.69,124.16,150.53,236.55
18139,18,284.09,176.77,52.7,83.38
18139,25,327.52,131.25,175.67,224.81
18140,18,289.1,175.57,38.06,86.1
18140,25,320.7,134.44,168.65,220.12
18141,18,277.34,175.51,48.69,87.95
18141,25,310.83,130.19,169.85,227.33
18142,26,277.47,127.83,137.88,226.96
18143,26,277.32,131.13,143.19,219.44
18144,18,277.33,172.54,52.9,92.95
18144,25,325.39,132.99,161.97,217.93
18145,26,278.01,137.28,141.58,212.7
18146,27,377.15,146.94,137.1,198.48
18147,27,374.06,148.18,69.04,192.79
18157,17,360.73,152.62,57.97,143.62
18158,17,353.3,155.4,50.37,134.59
18159,25,325.04,149.16,253.18,204.02
18160,24,187.05,147.06,248.91,209.49
18161,25,318.12,138.02,306.14,214.13
18162,25,343.97,126.04,290.54,229.17
18163,17,301.7,163.2,112.62,115.31
18164,17,275.28,165.39,92.36,111.15
18165,25,321.38,163.42,80.61,110.1
18166,25,320.85,163.25,81.34,108.16
18167,17,273.62,164.26,89.65,105.84
18168,17,277.28,164.59,92.71,107.15
18169,17,280.29,164.74,95.92,109.42
18170,17,284.66,165.44,100.89,107.14
18171,17,273.08,165.98,104.5,110.66
18172,17,266.53,178.64,59.84,85.87
18172,25,332.27,166.28,71.94,109.28
18173,17,260.91,177.82,59.29,88.1
18173,25,328.52,167.09,72.51,109.68
18174,17,255.97,175.68,60.76,90.58
18174,25,324.34,167.23,74.65,108.97
18175,17,251.89,164.91,108.39,111.13
18176,17,242.8,162.53,110.23,110.53
18177,17,238.49,159.05,113.12,112.87
18178,17,266.22,161.67,112.75,108.28
18179,17,261.68,165.7,113.85,105.77
18180,17,226.58,163.93,135.47,107.98
18181,17,228.73,163.19,137.82,108.68
18182,17,229.96,162.5,139.72,109.95
18183,17,270.85,163.87,136.56,106.45
18184,17,233.87,165.81,140.11,107.43
18185,17,235.25,166.69,141.98,109.16
18186,17,236.89,167.75,144.16,111.41
18187,17,238.81,167.58,145.03,114.06
18188,17,239.99,166.39,146.01,116.38
18189,17,241.0,166.88,146.14,116.63
18190,17,286.25,166.07,144.69,104.62
18191,17,242.49,165.58,151.49,120.25
18192,17,244.98,166.81,106.18,119.41
18192,28,363.45,166.92,75.91,107.03
18193,17,240.09,169.52,106.9,121.99
18193,28,361.28,169.24,74.26,110.73
18194,17,233.45,169.5,111.1,125.29
18194,28,358.87,169.77,72.56,108.4
18195,17,230.19,171.86,111.66,124.04
18195,28,356.95,169.77,71.77,108.27
18196,17,222.59,168.77,113.53,129.1
18196,28,350.82,168.96,71.66,108.32
18197,17,225.48,165.8,118.59,133.79
18197,28,355.76,165.7,73.28,109.06
18198,17,230.98,161.4,119.48,135.28
18198,28,362.28,164.33,74.4,110.37
18199,17,238.19,159.52,120.33,136.43
18199,28,372.48,165.16,75.5,110.52
18200,17,242.07,162.24,122.52,136.39
18200,28,376.86,163.56,77.29,112.58
18201,17,244.3,162.95,125.17,138.82
18201,28,380.41,166.55,80.33,112.64
18202,17,243.58,163.33,126.54,139.97
18202,28,381.44,167.81,78.43,112.06
18203,17,238.61,165.17,129.23,138.11
18203,28,379.35,166.81,77.47,111.44
18204,17,215.38,161.53,106.43,144.3
18204,25,330.45,165.44,128.77,113.24
18205,17,256.45,168.61,101.08,106.78
18205,25,212.81,160.99,220.59,146.31
18206,17,230.88,167.76,155.51,127.22
18207,17,231.47,176.53,67.16,116.4
18207,29,97.26,151.0,285.95,193.56
18208,17,222.82,175.68,73.54,120.18
18208,29,83.42,145.28,296.52,204.56
18209,17,213.83,172.36,73.33,129.47
18209,29,65.58,140.77,309.15,210.12
18210,17,205.29,165.87,165.91,140.18
18211,17,197.46,166.52,170.15,145.57
18212,30,128.48,140.64,115.27,191.81
18212,29,8.47,125.19,358.83,198.76
18213,17,0.72,127.68,265.47,211.11
18213,25,275.11,165.07,95.84,109.95
18214,17,1.0,119.58,262.48,226.44
18214,25,280.79,166.7,91.17,108.55
18215,17,101.47,135.12,272.03,216.58
18215,31,1.0,115.69,111.67,132.36
18216,17,143.56,158.45,225.96,199.76
18216,32,1.0,123.8,150.03,197.54
18217,17,1.0,115.22,365.98,242.17
18218,17,170.71,149.65,194.27,175.1
18218,30,1.0,107.24,239.0,250.89
18219,17,90.33,142.42,273.13,219.54
18220,33,178.39,141.76,198.78,208.7
18221,17,1.0,104.63,254.84,257.81
18221,33,278.74,161.16,101.94,122.74
