frame,u,v
283,243.43,160.86
284,477.3,153.73
284,373.65,168.25
284,239.72,159.76
285,476.04,153.2
285,237.67,160.35
286,472.21,151.09
286,372.49,168.77
286,232.52,161.29
287,474.07,151.05
287,372.62,168.82
287,230.68,161.18
288,230.42,160.64
289,229.88,160.19
290,475.21,150.41
290,226.62,160.34
291,473.52,151.67
291,373.21,166.5
291,223.13,161.01
292,470.72,151.98
292,373.14,165.97
292,219.18,161.25
293,466.12,152.91
293,372.79,166.0
293,214.03,160.14
294,430.54,152.03
294,371.73,167.8
294,206.75,157.69
295,426.48,151.28
295,371.21,169.47
295,201.86,158.53
296,422.57,150.78
296,370.54,170.24
296,194.64,159.24
297,420.09,151.8
297,189.28,158.95
298,418.78,151.57
298,186.39,158.2
299,418.18,151.66
299,359.7,169.36
300,418.31,151.86
300,359.64,169.53
301,418.32,152.37
301,360.45,165.33
302,414.24,152.51
302,359.58,165.02
303,411.55,153.38
303,359.6,165.08
304,408.25,152.97
304,357.96,164.76
305,408.46,150.92
305,359.46,164.92
306,407.24,150.6
306,358.32,163.56
306,550.83,164.54
307,407.56,149.61
307,359.4,163.8
307,552.23,164.03
308,359.62,149.67
308,552.58,163.38
309,359.93,149.24
309,154.16,153.77
309,559.4,164.23
310,370.14,148.13
310,562.5,162.56
311,370.6,147.15
311,542.43,160.98
312,370.81,146.77
312,545.07,161.06
313,370.63,146.33
313,545.99,160.61
314,369.84,147.03
314,547.04,160.14
315,369.63,148.21
316,417.73,150.65
316,370.97,163.41
316,554.0,162.39
317,371.56,151.1
317,555.73,163.66
318,371.39,151.14
318,577.25,164.27
319,371.49,151.94
319,562.72,165.58
320,382.82,151.28
320,565.56,163.97
321,383.43,150.13
321,567.16,163.76
322,383.13,150.86
322,569.37,164.54
323,382.51,150.87
323,566.43,165.07
324,382.32,152.37
324,565.04,164.64
325,382.12,151.88
325,564.44,165.81
326,372.0,151.78
326,562.46,167.17
327,372.09,153.73
327,564.15,170.02
328,371.04,152.3
328,564.28,168.94
329,370.69,152.77
330,370.16,153.35
331,369.99,153.34
332,371.24,155.71
333,371.59,156.26
334,370.41,156.46
335,370.26,156.5
335,60.99,149.57
336,357.43,155.42
337,356.42,155.22
338,332.17,153.83
339,332.78,152.68
340,330.64,153.49
341,320.46,152.6
342,306.69,148.19
343,299.9,151.02
344,295.29,147.84
345,288.33,146.98
346,284.68,151.68
346,1.0,134.47
347,283.66,153.32
348,282.62,152.71
349,281.81,153.16
350,281.65,153.88
351,281.59,154.95
352,279.42,154.87
353,283.95,154.42
354,285.05,154.95
355,283.95,155.13
356,296.81,155.17
357,297.25,155.49
358,296.88,152.9
359,308.28,150.93
360,308.61,150.02
361,308.28,149.66
362,321.53,150.41
363,321.14,155.7
364,328.46,157.02
364,481.58,167.89
365,342.94,156.64
365,488.54,172.23
366,347.58,158.14
367,350.39,158.73
368,352.96,158.89
369,355.25,159.08
370,357.02,159.11
371,356.84,157.96
372,355.22,157.25
373,353.37,156.35
374,347.57,155.77
374,5.66,148.17
375,350.75,156.4
375,5.02,148.09
376,357.54,157.38
376,514.41,159.98
377,363.01,157.1
378,370.94,156.43
379,373.68,156.18
380,376.1,153.39
381,379.47,152.88
382,381.49,154.61
383,385.74,156.83
384,387.79,155.11
385,389.46,154.46
386,388.14,154.87
387,378.33,155.0
387,548.89,158.77
388,377.08,155.17
389,367.69,155.54
389,534.35,150.25
390,366.92,155.79
391,364.12,156.36
392,360.73,154.29
393,357.52,155.22
394,355.02,155.81
395,353.0,157.06
396,351.93,159.71
397,350.39,160.87
398,350.11,161.22
399,349.51,160.78
400,350.58,161.88
401,352.29,162.53
401,588.15,172.98
402,354.28,162.47
403,354.03,162.24
404,351.88,162.25
405,347.67,161.8
406,345.78,161.19
407,345.69,161.03
408,346.29,160.64
409,348.4,160.4
410,350.07,160.45
411,352.14,161.14
412,358.36,160.81
412,518.36,170.2
412,608.25,170.97
413,361.31,160.98
414,362.07,160.66
415,362.58,160.23
416,365.4,160.63
417,367.27,160.51
418,369.68,159.63
419,369.93,160.15
420,368.83,160.44
421,368.06,160.43
422,367.61,160.08
423,366.85,160.14
424,366.39,160.0
425,366.51,158.14
426,365.5,160.53
427,364.51,160.97
428,364.2,160.84
429,363.29,160.28
430,358.68,160.11
431,355.42,160.97
432,415.81,160.94
432,353.45,161.22
433,353.08,156.9
434,353.12,159.42
435,355.14,160.86
436,360.21,160.04
437,362.11,160.1
438,362.51,157.38
439,363.24,159.9
440,362.86,160.93
441,362.56,161.66
442,362.94,161.99
443,364.84,160.25
444,367.22,160.04
445,429.07,158.79
445,366.99,162.51
446,366.05,158.52
447,365.42,157.69
448,365.21,154.6
449,360.63,152.95
450,358.74,153.83
451,418.49,154.09
451,358.08,163.81
452,422.34,155.1
452,360.39,163.75
453,360.11,152.22
454,429.65,154.74
454,367.62,163.26
455,430.29,155.33
455,366.04,162.88
456,430.47,155.62
456,365.33,163.6
457,430.53,155.36
457,364.94,163.98
458,430.25,155.06
458,365.21,162.93
459,429.46,153.97
459,366.01,162.72
460,428.54,153.65
460,360.29,162.22
461,427.42,153.6
461,500.84,163.82
461,359.28,162.11
462,427.12,153.37
462,499.1,163.37
462,357.8,161.59
463,426.98,152.83
463,357.27,161.36
464,427.48,153.04
464,356.98,161.26
465,427.84,153.18
465,356.92,161.51
466,428.06,153.3
466,356.72,163.83
467,427.57,153.0
467,355.29,162.68
468,426.09,152.54
468,353.76,163.93
469,423.03,147.9
469,354.16,163.72
470,420.77,145.61
470,349.12,160.55
471,419.95,144.6
471,347.92,159.69
472,420.29,144.76
472,347.35,159.14
473,420.99,145.06
473,346.37,158.99
473,471.23,159.95
474,422.07,143.3
474,345.64,159.55
475,423.46,142.82
475,345.51,160.28
476,427.81,148.46
476,347.37,161.08
477,432.42,151.0
477,348.15,164.43
478,435.32,152.05
478,349.05,165.64
479,437.32,151.85
479,348.55,165.23
480,439.26,150.85
480,356.34,165.17
481,440.87,149.6
481,356.09,164.89
482,442.15,148.7
482,355.38,164.87
483,445.76,149.02
483,354.74,164.66
484,447.22,148.89
484,354.57,163.68
485,450.07,148.15
485,354.54,162.66
486,451.04,147.22
486,354.97,162.1
487,449.03,147.37
487,356.28,161.71
488,447.78,146.83
488,356.4,161.56
489,448.95,145.86
489,345.24,161.58
490,449.88,145.63
490,343.96,160.32
491,450.01,145.6
491,344.03,160.35
492,450.14,145.57
492,344.52,160.06
493,449.58,145.62
493,336.16,160.06
494,449.9,145.33
494,335.99,160.53
495,454.94,144.33
495,344.19,159.91
496,459.14,144.16
496,345.7,159.66
497,464.24,144.77
497,346.72,162.63
498,467.89,145.21
498,347.8,160.59
499,468.76,143.87
499,348.85,160.16
500,469.25,143.13
500,354.03,161.23
501,471.21,142.11
501,355.73,161.19
502,472.57,141.49
502,356.26,161.99
503,474.04,142.37
503,356.2,161.82
504,474.45,138.73
504,356.18,161.54
505,489.02,136.04
505,360.27,162.12
506,490.76,137.25
506,365.34,161.72
507,491.67,138.17
507,367.11,161.4
508,491.57,138.77
508,367.88,161.47
509,490.99,138.86
509,367.98,161.34
510,489.88,137.62
510,367.64,160.86
511,489.03,137.4
511,362.66,161.48
512,524.72,138.36
512,362.05,163.17
512,293.1,158.9
513,525.96,138.13
513,362.92,164.71
514,525.36,136.85
514,360.17,163.63
515,360.57,160.05
516,360.72,160.46
517,369.77,161.17
518,369.73,161.18
519,370.63,162.81
520,371.89,162.39
521,373.39,162.85
522,374.07,162.1
523,374.04,161.69
524,374.06,161.47
525,374.65,161.32
525,295.87,156.89
527,472.78,163.96
527,306.42,163.38
528,308.86,161.82
528,476.95,164.83
529,479.64,162.25
530,485.2,161.95
530,310.98,161.21
531,487.97,162.12
531,313.81,161.7
532,490.06,160.64
532,314.94,162.09
533,490.22,160.61
533,309.52,161.4
534,488.19,163.43
535,483.51,161.47
536,480.54,161.6
537,478.86,162.27
538,398.37,165.87
542,475.95,161.57
543,474.8,161.14
544,470.14,162.63
545,387.21,164.97
545,468.87,162.65
545,310.52,152.03
546,387.11,164.27
546,472.58,161.63
546,310.54,151.94
547,475.15,162.22
547,310.89,151.29
548,389.68,164.27
548,473.96,161.15
549,322.55,150.56
550,322.9,150.3
550,398.6,164.3
551,322.91,150.15
551,399.1,164.49
552,324.31,150.65
552,400.46,163.65
553,324.78,150.18
553,401.77,163.23
